person	meeting_title	start_time	end_time	duration_minutes
Person_1	Planning Meeting	2025-07-21 08:00:00	2025-07-21 09:30:00	90
Person_1	Project Review	2025-07-21 09:30:00	2025-07-21 09:45:00	15
Person_1	All Hands	2025-07-21 09:45:00	2025-07-21 10:45:00	60
Person_1	Stakeholder Meeting	2025-07-21 10:45:00	2025-07-21 11:45:00	60
Person_1	Design Review	2025-07-21 11:45:00	2025-07-21 14:45:00	180
Person_1	Strategy Session	2025-07-21 14:45:00	2025-07-21 15:00:00	15
Person_1	Sprint Planning	2025-07-21 15:00:00	2025-07-21 15:30:00	30
Person_1	Product Demo	2025-07-21 15:30:00	2025-07-21 16:00:00	30
Person_1	Retrospective	2025-07-22 08:45:00	2025-07-22 09:15:00	30
Person_1	Demo	2025-07-22 09:45:00	2025-07-22 10:30:00	45
Person_1	Interview	2025-07-22 11:00:00	2025-07-22 11:30:00	30
Person_1	Product Demo	2025-07-23 08:30:00	2025-07-23 11:30:00	180
Person_1	Client Call	2025-07-23 11:30:00	2025-07-23 15:30:00	240
Person_1	Code Review	2025-07-24 08:30:00	2025-07-24 10:00:00	90
Person_1	Interview	2025-07-24 10:30:00	2025-07-24 14:30:00	240
Person_1	Training Session	2025-07-24 14:30:00	2025-07-24 15:00:00	30
Person_1	Interview	2025-07-24 15:00:00	2025-07-24 15:45:00	45
Person_1	Code Review	2025-07-24 15:45:00	2025-07-24 16:00:00	15
Person_1	1:1 Meeting	2025-07-25 09:45:00	2025-07-25 10:00:00	15
Person_1	Demo	2025-07-25 13:45:00	2025-07-25 14:45:00	60
Person_1	Code Review	2025-07-28 09:00:00	2025-07-28 10:30:00	90
Person_1	Technical Discussion	2025-07-28 10:30:00	2025-07-28 11:00:00	30
Person_1	Architecture Review	2025-07-28 11:00:00	2025-07-28 13:00:00	120
Person_1	All Hands	2025-07-28 13:00:00	2025-07-28 16:00:00	180
Person_1	All Hands	2025-07-29 09:45:00	2025-07-29 11:45:00	120
